地区,センター,もやせる,プラスチック製容器包装,紙製容器包装,古紙・古着,金属
橋北地区 千鳥町,松江市,月 木,金,月1 月3,火2 火4,水4
橋南地区 津田町,松江市,火 金,月,木2 木4,水2 水4,水2
橋南地区 寺町,松江市,月 木,金,木2 木4,水2 水4,木3
橋南地区 天神町,松江市,月 木,金,木2 木4,水2 水4,木3
橋北地区 堂形町,松江市,月 木,金,月1 月3,火2 火4,水4
橋北地区 殿町,松江市,月 木,金,月1 月3,火2 火4,水4
橋北地区 中原町,松江市,月 木,金,月1 月3,火2 火4,水4
橋北地区 長海町,松江市,月 木,水,火1 火3,木1 木3,金1
橋南地区 灘町,松江市,月 木,金,木2 木4,水2 水4,木3
橋北地区 南平台,松江市,月 木,火,金1 金3,金2 金4,月1
橋北地区 西生馬町,松江市,月 木,火,金1 金3,金2 金4,月1
橋南地区 西忌部町,松江市,火 金,木,水2 水4,月1 月3,火1
橋北地区 西尾町,松江市,月 木,水,火1 火3,木1 木3,月4
橋北地区 西川津町（朝酌川から西側）,松江市,月 木,金,水1 水3,火1 火3,火2
橋北地区 西川津町（朝酌川から東側）,松江市,月 木,金,水1 水3,火1 火3,月2
橋北地区 西谷町,松江市,月 木,火,金1 金3,金2 金4,金4
橋北地区 西茶町,松江市,月 木,金,月1 月3,火2 火4,水4
橋南地区 西津田一・二・七・八丁目,松江市,火 金,月,木2 木4,水2 水4,水2
橋南地区 西津田三～六・九・十丁目,松江市,火 金,月,木1 木3,水1 水3,金3
橋北地区 西長江町,松江市,月 木,火,金1 金3,金2 金4,金4
橋北地区 西浜佐陀町,松江市,月 木,火,金1 金3,金2 金4,金4
橋北地区 西法吉町,松江市,月 木,金,月1 月3,火2 火4,木1
橋北地区 西持田町,松江市,月 木,金,水1 水3,火1 火3,火2
橋南地区 西嫁島一～三丁目,松江市,火 金,月,木2 木4,水2 水4,木3
橋南地区 乃木福富町,松江市,火 金,木,水2 水4,月1 月3,火1
橋南地区 乃白町,松江市,火 金,木,水2 水4,月1 月3,火1
橋北地区 野原町,松江市,月 木,水,火1 火3,木1 木3,金1
橋南地区 八軒屋町,松江市,月 木,金,木2 木4,水2 水4,木3
橋北地区 浜佐田町,松江市,月 木,火,金1 金3,金2 金4,月1
橋南地区 浜乃木一･二丁目,松江市,火 金,月,木2 木4,水2 水4,火4
橋南地区 浜乃木町,松江市,火 金,木,水2 水4,月1 月3,火1
橋南地区 浜乃木三～八丁目,松江市,火 金,木,水2 水4,月1 月3,火1
橋南地区 東朝日町,松江市,月 木,金,木2 木4,水2 水4,木3
橋北地区 東生馬町,松江市,月 木,火,金1 金3,金2 金4,月1
橋南地区 東出雲町-須田,松江市,火 金,月,木2 木4,月2 月4,火3
橋南地区 東出雲町-内馬,松江市,火 金,月,木2 木4,月2 月4,火3
橋南地区 東出雲町-春日,松江市,火 金,月,木2 木4,月2 月4,火3
橋南地区 東出雲町-今宮,松江市,火 金,月,木2 木4,月2 月4,火3
橋南地区 東出雲町-出雲郷,松江市,火 金,月,木2 木4,月2 月4,火3
橋南地区 東出雲町-錦新町１～８丁目,松江市,火 金,月,木2 木4,月2 月4,火3
橋南地区 東出雲町-意宇南１～６丁目,松江市,火 金,月,木2 木4,月2 月4,火3
橋南地区 東出雲町-意宇東１～３丁目,松江市,火 金,月,木2 木4,月2 月4,火3
橋南地区 東出雲町-錦浜,松江市,火 金,月,木2 木4,月2 月4,火3
橋南地区 東出雲町（国道９号線から北側の揖屋）,松江市,火 金,水,木1 木3,木2 木4,月2
橋南地区 東出雲町（国道９号線から南側の揖屋）,松江市,火 金,木,水2 水4,月1 月3,金2
