地区;センター;Combustible Waste;Plastic containers and packages;Paper containers and packages;Used Paper and Clothing;Metal Waste
North Side【橋北地区】_Shimosadacho（下佐陀町）;松江市;月 木;火;金1 金3;金2 金4;月1
North Side【橋北地区】_Shimohigashikawatsucho（下東川津町）;松江市;月 木;水;火1 火3;木1 木3;月4
North Side【橋北地区】_Shojocho（荘成町）;松江市;月 木;火;金1 金3;金2 金4;金4
North Side【橋北地区】_Shohokudai（淞北台）;松江市;月 木;金;月1 月3;火2 火4;木1
South Side【橋南地区】_Shirakatahommachi（白潟本町）;松江市;月 木;金;木2 木4;水2 水4;木3
South Side【橋南地区】_Shinsaikamachi（新雑賀町）;松江市;火 金;月;木2 木4;水2 水4;水2
South Side【橋南地区】_Shinjicho（宍道町）;松江市;火 金;木;火2 火4;月2 月4;月3
North Side【橋北地区】_Shinjocho（新庄町）;松江市;月 木;水;火1 火3;木1 木3;金1
South Side【橋南地区】_Shimmachi（新町）;松江市;火 金;月;木2 木4;水2 水4;火4
North Side【橋北地区】_Suetsugucho（末次町）;松江市;月 木;金;月1 月3;火2 火4;水4
North Side【橋北地区】_Suetsuguhommachi（末次本町）;松江市;月 木;金;月1 月3;火2 火4;水4
North Side【橋北地区】_Sugatacho(South side from North circulation Route)（菅田町（北循環線から南側））;松江市;月 木;金;月1 月3;火2 火4;木1
North Side【橋北地区】_Sugatacho(North side from North circulation Route)（菅田町（北循環線から北側））;松江市;月 木;金;水1 水3;火1 火3;火2
North Side【橋北地区】_Sunagocho（砂子町）;松江市;月 木;金;月1 月3;火2 火4;水4
South Side【橋南地区】_Sodeshicho（袖師町）;松江市;火 金;月;木2 木4;水2 水4;木3
North Side【橋北地区】_Sotonakabaracho（外中原町）;松江市;月 木;金;月1 月3;火2 火4;水4
South Side【橋南地区】_Taishomachi（大正町）;松江市;月 木;金;木2 木4;水2 水4;木3
North Side【橋北地区】_Dairincho（大輪町）;松江市;月 木;金;月1 月3;火2 火4;木1
